time,b,se,variable,skill,pais,desagregacion,detalle_indicador
8,-.13894229,.019573662,Empleo,high,CHL,Nivel educativo,Empleado
9,-.14804237,.0216853,Empleo,high,CHL,Nivel educativo,Empleado
10,-.14611158,.023368813,Empleo,high,CHL,Nivel educativo,Empleado
-5,.0057092956,.0047570947,Empleo,high,BRA,Nivel educativo,Empleado
-4,.0032716461,.0044488376,Empleo,high,BRA,Nivel educativo,Empleado
-3,.0018688395,.0042208578,Empleo,high,BRA,Nivel educativo,Empleado
-2,0,0,Empleo,high,BRA,Nivel educativo,Empleado
-1,-.00363605,.0039730412,Empleo,high,BRA,Nivel educativo,Empleado
0,-.11034042,.012855405,Empleo,high,BRA,Nivel educativo,Empleado
1,-.1216367,.013526407,Empleo,high,BRA,Nivel educativo,Empleado
2,-.091117315,.013323953,Empleo,high,BRA,Nivel educativo,Empleado
3,-.08265575,.013391097,Empleo,high,BRA,Nivel educativo,Empleado
4,-.085497908,.014244067,Empleo,high,BRA,Nivel educativo,Empleado
5,-.072191291,.014590278,Empleo,high,BRA,Nivel educativo,Empleado
6,-.078525536,.015499863,Empleo,high,BRA,Nivel educativo,Empleado
7,-.079996683,.016545055,Empleo,high,BRA,Nivel educativo,Empleado
8,-.080344751,.017458577,Empleo,high,BRA,Nivel educativo,Empleado
9,-.081531353,.018309262,Empleo,high,BRA,Nivel educativo,Empleado
10,-.088311441,.019897334,Empleo,high,BRA,Nivel educativo,Empleado
-5,.0017072873,.05797483,Empleo,high,BOL,Nivel educativo,Empleado
-4,-.0059408001,.048602849,Empleo,high,BOL,Nivel educativo,Empleado
-3,-.036856268,.045095719,Empleo,high,BOL,Nivel educativo,Empleado
-2,0,0,Empleo,high,BOL,Nivel educativo,Empleado
-1,-.030731738,.040382851,Empleo,high,BOL,Nivel educativo,Empleado
0,-.27415696,.070594132,Empleo,high,BOL,Nivel educativo,Empleado
1,-.18034843,.075901754,Empleo,high,BOL,Nivel educativo,Empleado
2,-.15803827,.074843399,Empleo,high,BOL,Nivel educativo,Empleado
3,-.14345875,.074224442,Empleo,high,BOL,Nivel educativo,Empleado
4,-.17579511,.082040191,Empleo,high,BOL,Nivel educativo,Empleado
5,-.20129606,.089017734,Empleo,high,BOL,Nivel educativo,Empleado
6,-.19751553,.094295464,Empleo,high,BOL,Nivel educativo,Empleado
7,-.22182184,.11495659,Empleo,high,BOL,Nivel educativo,Empleado
8,-.040128242,.10524596,Empleo,high,BOL,Nivel educativo,Empleado
9,-.084402338,.095180757,Empleo,high,BOL,Nivel educativo,Empleado
10,-.23036826,.11716186,Empleo,high,BOL,Nivel educativo,Empleado
-5,.024123969,.009353145,Empleo,high,ARG,Nivel educativo,Empleado
-4,.016582564,.0083534997,Empleo,high,ARG,Nivel educativo,Empleado
-3,.008388455,.0076687704,Empleo,high,ARG,Nivel educativo,Empleado
-2,0,0,Empleo,high,ARG,Nivel educativo,Empleado
-1,-.0064160642,.0068346271,Empleo,high,ARG,Nivel educativo,Empleado
0,-.12972854,.016573526,Empleo,high,ARG,Nivel educativo,Empleado
1,-.13867055,.01718975,Empleo,high,ARG,Nivel educativo,Empleado
2,-.13308913,.018057255,Empleo,high,ARG,Nivel educativo,Empleado
3,-.13743088,.018835079,Empleo,high,ARG,Nivel educativo,Empleado
4,-.15497297,.020624913,Empleo,high,ARG,Nivel educativo,Empleado
5,-.13450029,.021292586,Empleo,high,ARG,Nivel educativo,Empleado
6,-.13612182,.023442451,Empleo,high,ARG,Nivel educativo,Empleado
7,-.15026183,.025667839,Empleo,high,ARG,Nivel educativo,Empleado
8,-.16533406,.028120741,Empleo,high,ARG,Nivel educativo,Empleado
9,-.14833826,.02990335,Empleo,high,ARG,Nivel educativo,Empleado
10,-.18121246,.037500136,Empleo,high,ARG,Nivel educativo,Empleado
-5,.008415035,.0037570125,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
-4,.0069155702,.0034514691,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
-3,.0038460765,.0031667533,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
-1,-.00016002991,.0029168252,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
0,-.051779494,.012946904,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
1,-.045352794,.012558982,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
2,-.045048647,.012295562,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
3,-.050489094,.012902002,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
4,-.043935772,.012632073,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
5,-.029521156,.011857051,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
6,-.043061417,.014197279,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
7,-.045481566,.015195097,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
8,-.041082531,.016096057,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
9,-.043010388,.017309081,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
10,-.044285424,.019888565,Participación laboral,high,URY,Nivel educativo,Participación laboral femenina
-5,.01491553,.030621428,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
-4,-.0034585351,.028168773,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
-3,.020072168,.025809491,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
-1,.010231011,.024536202,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
0,-.11597259,.060359497,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
1,-.089518324,.059955668,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
2,-.066148505,.054836374,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
3,-.029029328,.055968013,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
4,-.023262411,.055999991,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
5,-.023495773,.058761381,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
6,-.087147281,.071078889,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
7,.0053705596,.061609648,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
8,-.016985912,.068735108,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
9,-.034643084,.076656073,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
10,.007039051,.071572967,Participación laboral,high,PRY,Nivel educativo,Participación laboral femenina
-5,.030712906,.050719991,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
-4,-.0085618282,.047206763,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
-3,.043057982,.041021988,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
-1,-.014875433,.038855571,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
0,-.27394813,.077053331,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
1,-.11796472,.06878271,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
2,-.058782641,.063980222,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
3,-.055151943,.072044656,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
4,-.014383119,.069354504,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
5,-.042481069,.072325245,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
6,-.079810582,.078695193,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
7,-.13632557,.092990704,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
8,-.071544513,.091750324,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
9,-.063232057,.10110658,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
10,-.036059037,.10866637,Participación laboral,high,PER,Nivel educativo,Participación laboral femenina
-5,-.0068848883,.022935713,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
-4,.0022172446,.02063678,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
-3,-.0047975383,.019186947,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
-1,-.0083920378,.016818827,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
0,-.1528032,.047796544,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
1,-.15063289,.04940952,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
2,-.090578675,.041949175,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
3,-.099708602,.045218829,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
4,-.11698377,.04703239,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
5,-.10831861,.046774086,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
6,-.10116106,.049836103,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
7,-.11445256,.055803601,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
8,-.12135649,.058161117,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
9,-.10787585,.057067361,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
10,-.1128692,.063464306,Participación laboral,high,PAN,Nivel educativo,Participación laboral femenina
-5,.0056043137,.0038033968,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
-4,.0030936494,.0033518469,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
-3,.000026393465,.0030317176,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
-1,-.0023807304,.0026436853,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
0,-.16311301,.0095901713,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
1,-.14897895,.0092501249,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
2,-.13477643,.0094571346,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
3,-.13835846,.0097806314,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
4,-.14382939,.010362573,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
5,-.1237504,.010717602,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
6,-.1333618,.011572945,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
7,-.14588618,.012662629,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
8,-.1368618,.013717961,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
9,-.14151688,.015000967,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
10,-.14903627,.017805617,Participación laboral,high,MEX,Nivel educativo,Participación laboral femenina
-5,-.020746706,.02919044,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
-4,-.022490982,.025836049,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
-3,-.01049602,.023532569,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
-1,-.026536867,.019736646,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
0,-.20085247,.052326538,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
1,-.20101033,.05139799,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
2,-.14425655,.046489995,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
3,-.1802853,.051982358,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
4,-.12676051,.048364446,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
5,-.14364527,.051841021,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
6,-.1560996,.055752322,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
7,-.15927462,.057053559,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
8,-.20047985,.069525629,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
9,-.16625538,.072772637,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
10,-.19192126,.10083349,Participación laboral,high,ECU,Nivel educativo,Participación laboral femenina
-5,.0055942503,.021690654,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
-4,-.0022754062,.020271162,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
-3,-.0082537979,.019056745,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
-1,-.0038665493,.016646285,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
0,-.18119855,.05232989,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
1,-.10051203,.045380786,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
2,-.15716502,.049323741,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
3,-.15038958,.051210366,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
4,-.12279825,.049324166,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
5,-.12267561,.054594353,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
6,-.14651792,.065181032,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
7,-.12222891,.062463343,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
8,-.12255523,.063098751,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
9,-.13329461,.068622693,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
10,-.11431658,.072225198,Participación laboral,high,CRI,Nivel educativo,Participación laboral femenina
-5,.0090519767,.0043662065,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
-4,.0030851411,.0037990562,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
-3,.0036597261,.0033399665,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
-1,-.0047273589,.0029331569,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
0,-.15677018,.010353583,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
1,-.091907263,.0094743893,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
2,-.079295032,.009558809,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
3,-.067246243,.0097384145,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
4,-.078371137,.010656447,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
5,-.092505202,.012011285,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
6,-.083250783,.012778439,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
7,-.090949327,.014856535,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
8,-.07897035,.016801747,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
9,-.075351596,.020282675,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
10,-.10974625,.030984148,Participación laboral,high,COL,Nivel educativo,Participación laboral femenina
-5,.01695196,.0067309905,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
-4,.0069098566,.0060699461,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
-3,.00053894304,.0055934307,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
-1,-.012950095,.0050287331,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
0,-.10229494,.015423431,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
1,-.12020915,.015392915,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
2,-.12396973,.014826681,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
3,-.11785366,.014348323,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
4,-.12129831,.014804644,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
5,-.1421259,.015582032,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
6,-.14087191,.01663716,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
7,-.1543406,.017621111,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
8,-.14840655,.018390467,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
9,-.15234086,.020289203,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
10,-.15529713,.021981953,Participación laboral,high,CHL,Nivel educativo,Participación laboral femenina
-5,.0035916849,.0039325464,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
-4,.0016676033,.0036883079,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
-3,-.00052454119,.003504449,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
-1,-.0029456418,.003261911,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
0,-.12905812,.012228891,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
1,-.12195177,.012508979,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
2,-.086019427,.0119888,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
3,-.078555696,.012025086,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
4,-.084540881,.012875288,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
5,-.077444471,.013300524,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
6,-.087093033,.014279038,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
7,-.075736776,.014859823,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
8,-.08216662,.015873315,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
9,-.08256311,.016666735,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
10,-.089184538,.018080423,Participación laboral,high,BRA,Nivel educativo,Participación laboral femenina
-5,.014029212,.053993817,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
-4,.02161796,.044573005,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
-3,-.020315018,.041935183,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
-1,-.015794255,.03711741,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
0,-.29810002,.06865292,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
1,-.18990803,.07269524,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
2,-.16381724,.071229056,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
3,-.17728455,.071598545,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
4,-.21078736,.078968085,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
5,-.23504731,.086205587,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
6,-.20378326,.089610659,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
7,-.23361953,.10984952,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
8,-.088383794,.10329664,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
9,-.11193014,.090923369,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
10,-.21118017,.11011148,Participación laboral,high,BOL,Nivel educativo,Participación laboral femenina
-5,.025067687,.0082932729,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
-4,.014839162,.0074571739,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
-3,.0084449323,.0068559502,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
-1,-.0051873657,.0060727051,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
0,-.14067024,.015911864,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
1,-.13470694,.016181128,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
2,-.13379426,.017095152,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
3,-.13133809,.017620672,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
4,-.14917408,.019421272,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
5,-.13301821,.020054154,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
6,-.13524388,.022100687,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
7,-.14546624,.024088481,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
8,-.15514573,.026138961,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
9,-.13276698,.027132418,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
10,-.17221114,.034835193,Participación laboral,high,ARG,Nivel educativo,Participación laboral femenina
-5,3.8554661,3.099014,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
-4,2.9147675,2.8835485,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
-3,.40381545,2.6928618,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
-1,-.3948653,2.6465046,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
0,-64.383705,12.983373,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
1,-41.638924,8.9145451,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
2,-50.250519,8.5642653,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
3,-45.864014,8.9555101,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
4,-48.876945,9.094636,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
5,-41.84214,11.632614,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
6,-44.134071,11.550678,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
7,-41.75729,11.274966,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
8,-42.087185,13.035412,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
9,-32.509903,14.201164,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
10,-48.052067,15.295442,Ingreso laboral,low,URY,Nivel educativo,Ingreso laboral total
-5,-5.8323064,26.761148,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
-4,-9.9372368,27.339705,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
-3,-7.7665052,27.288666,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
-1,-18.926807,30.153322,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
0,-79.19194,58.664043,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
1,-79.061928,52.465038,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
2,-51.032833,64.956238,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
3,-53.30191,66.645737,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
4,-69.898079,71.668037,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
5,-90.389091,71.426987,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
6,-2.6258185,111.44119,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
7,8.6656265,86.881294,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
8,-50.926838,77.152145,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
9,-6.6273947,83.860825,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
10,-52.347614,69.429153,Ingreso laboral,low,PRY,Nivel educativo,Ingreso laboral total
-5,1.1661067,24.46493,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
-4,29.613001,33.576927,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
-3,12.581141,27.781916,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
-1,4.0481601,24.274036,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
0,-94.507462,31.712429,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
1,-90.475624,52.94088,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
2,-78.681473,37.54311,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
3,-79.17601,41.769905,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
4,-92.304413,42.638607,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
5,-113.35477,39.579674,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
6,-83.900597,44.932907,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
7,-90.878677,45.819099,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
8,-47.492836,46.84557,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
9,-25.62974,58.323463,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
10,-84.755753,49.71212,Ingreso laboral,low,PER,Nivel educativo,Ingreso laboral total
-5,2.5298052,23.995623,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
-4,18.646315,27.605854,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
-3,10.163766,21.672369,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
-1,-1.0479203,20.838394,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
0,-71.657799,72.778725,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
1,-125.91721,42.836605,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
2,-73.001427,53.671124,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
3,-71.435684,54.484772,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
4,-93.313362,46.840122,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
5,-61.545372,52.802731,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
6,-58.754715,55.597301,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
7,-69.456795,54.806229,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
8,-115.41702,51.862991,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
9,-72.088539,62.656666,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
10,-72.924065,69.378609,Ingreso laboral,low,PAN,Nivel educativo,Ingreso laboral total
-5,1.7786258,3.8073609,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
-4,2.7108746,3.2955894,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
-3,2.303705,3.0869811,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
-1,-1.8780893,2.8636024,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
0,-87.964348,6.3757539,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
1,-79.642052,5.9773407,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
2,-72.491394,6.2944751,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
3,-75.562988,6.437809,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
4,-78.288116,6.1205158,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
5,-81.459579,6.2596035,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
6,-89.431976,6.431097,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
7,-80.841469,7.0231586,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
8,-84.957069,7.5018263,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
9,-77.378342,7.844625,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
10,-70.083,9.1347666,Ingreso laboral,low,MEX,Nivel educativo,Ingreso laboral total
